X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41
AL	-0.0388692901708658	-0.0466526263291072	-0.0308255676500384	-0.0338109559774228	-0.0558060063090286	-0.0692525657418717	-0.0283089377846452	-0.0356245504642774	-0.0406841744004451	0.0169475968105177	-0.0561778943915251	-0.0370676079522362	-0.0301444595716069	-0.0547961476948659	-0.0131138917246643	-0.0397598892564761	-0.045749745477237	-0.03132901036578	-0.0175018906246871	-0.0419409188315968	-0.0234124511458571	-0.000227423416493823	-0.0743576811972006	-0.0279779643429962	-0.0515573229599532	-0.0489861951795312	-0.0343431005950802	-0.0340051664347708	-0.0504376780821542	-0.0342589826892818	0.0299291743818161	-0.0223728027735162	-0.0558952793264552	-0.0333593090577693	-0.0463046949980202	-0.0299952186259945	-0.0356786891220954	-0.0210886862206066	-0.0547958166917317	-0.058152070206369	-0.0627674136009966
AZ	-0.0691248237001914	-0.0776982324756084	-0.052622611125561	-0.0647005940689114	-0.0930117061592409	-0.128179103969515	-0.0478650287071924	-0.0615109513511351	-0.0702695512296906	0.0252982813739558	-0.0907186107988216	-0.065320789546429	-0.0467517899048173	-0.0993333819814853	-0.0263446682418392	-0.0711950054539096	-0.0820418284159156	-0.0501039118140995	-0.0250127826094423	-0.0654088624045232	-0.0418455588137193	0.00539624391518912	-0.124928227252444	-0.0472433365265175	-0.091678250077758	-0.0869601358856915	-0.0591264402002411	-0.0545813011252869	-0.0862931319678902	-0.0540048927760735	0.0666154124478772	-0.0343071563670207	-0.101978550959596	-0.0557526919669599	-0.0855261893815645	-0.0594703095600308	-0.0641448862846661	-0.0368796242401774	-0.0929840338005087	-0.106503101342351	-0.118424673610082
AR	-0.0558142206036208	-0.0709898427190943	-0.0504472133062074	-0.0364984204269634	-0.0748698409204949	-0.0730164628395805	-0.0479515873235426	-0.0506659161383121	-0.0529681771537768	0.00915240328900666	-0.0802501406967879	-0.0512554196716722	-0.0498971664052023	-0.0614666727494327	-0.0252999835542647	-0.0569231499444633	-0.0645079028206826	-0.05384797852211	-0.0295221437236288	-0.0646720039260313	-0.0382089648997068	-0.00788983015007503	-0.0906339978087275	-0.0513699420574533	-0.0696059694087612	-0.0552594458126433	-0.0573522976066198	-0.0526709550638126	-0.0637642014808453	-0.0544267347838534	0.0321479606140784	-0.0432114891287963	-0.0608852522538128	-0.0537660419262838	-0.0614092785403675	-0.0321473026806055	-0.0352670952642553	-0.0371059997049838	-0.075662904817958	-0.063902059114271	-0.0686784404125682
CA	-0.0442836515943036	-0.0608409823989583	-0.0416121079195652	-0.0360367198717316	-0.0689471601301345	-0.0737922894275004	-0.0393790165182813	-0.0426466868760984	-0.046504408864856	0.0117352318492808	-0.0692696117741559	-0.0427240191633354	-0.0405811537565526	-0.0594383476241357	-0.0210572306426837	-0.0493904694236467	-0.0567615108631233	-0.0432408776093907	-0.0265575656856422	-0.0532448769330481	-0.0318996554048511	-0.00339572414743618	-0.0835045077209388	-0.0385053458394896	-0.0618170085961785	-0.0527526819389253	-0.0489035886200095	-0.0458422522174739	-0.0590489061000164	-0.0431425197237585	0.0330662214744049	-0.0317299123260328	-0.059608255624217	-0.0426760439109235	-0.0549298119732979	-0.0318896978474381	-0.0379064377889614	-0.0279763392536608	-0.0676435751157521	-0.061489408708694	-0.0657867121834217
CO	-0.0582494102178933	-0.0763942130661146	-0.0524315088871492	-0.0371908932403561	-0.0795110133123765	-0.0769475956497613	-0.0495745055538548	-0.051659955887253	-0.0559782622814567	0.011105277259118	-0.0855950671898356	-0.051856321700259	-0.0533565192019822	-0.0656066439383886	-0.028782085395224	-0.0588000555154448	-0.0705773962965994	-0.0575479391189345	-0.0324413487088975	-0.072302651050496	-0.0416374008483632	-0.00887023001467653	-0.096386574279182	-0.0536364434330056	-0.0729580116928037	-0.0588340627111563	-0.0605980524771552	-0.0565294676892807	-0.0672899249576967	-0.0578119227606961	0.0335148009470036	-0.0443155945710476	-0.0619702699529673	-0.0586227501025957	-0.0615278899452573	-0.0314848846677084	-0.0382118772581967	-0.0396522084041317	-0.0811881668170258	-0.0664195240522569	-0.0707419888471112
CT	-0.0568291437067278	-0.0748329434729321	-0.0527388935099603	-0.0388638017496936	-0.0798656006817641	-0.0776354914605886	-0.0488694031762186	-0.0504544922554488	-0.0554235239885618	0.0122509575122791	-0.0865670383558273	-0.0553528239406832	-0.0517616502275146	-0.066837640127535	-0.0263230234590655	-0.0611402261325043	-0.0662398269708867	-0.0563126744855937	-0.0317716256275929	-0.0680549473507047	-0.0376808107589091	-0.00679734935430368	-0.098095063073791	-0.0507084585386396	-0.0732351465078712	-0.0563119989328439	-0.0600930755371108	-0.0563884492986388	-0.0674730243080234	-0.0555645827666326	0.0306570791408293	-0.0433904606089128	-0.0635476422027889	-0.0552212520002263	-0.0634350410138174	-0.0352621579771875	-0.0352477483454742	-0.0375110272557589	-0.0804450203197359	-0.0662819291295168	-0.0717454144924682
DE	-0.057923092898337	-0.0771362636416058	-0.0563641990754556	-0.0353095771441507	-0.0787714818268255	-0.0763715899335451	-0.0530974497062327	-0.0536539486442279	-0.0548152141332388	0.0125025850221902	-0.0862442349352304	-0.0545387650236617	-0.0537316216249552	-0.0649982962686252	-0.0307077888748656	-0.0592954098135642	-0.069054093500278	-0.0577039102841261	-0.0330734892306085	-0.0706059952691181	-0.045991675470147	-0.0114776731428012	-0.0961599177267546	-0.0546620608384127	-0.0729588682948672	-0.0592720161043892	-0.0606219505719708	-0.0591611153434703	-0.0674759425030921	-0.057366730889414	0.0338103193330086	-0.0479557666206556	-0.062403479399196	-0.0579971871576542	-0.0613373056534135	-0.0342773463560133	-0.0376655605091528	-0.0382443602601492	-0.0794888712442772	-0.0649557334738977	-0.0714976381548617
GA	-0.0621520801852302	-0.0794554282961304	-0.0610507717803994	-0.038626601592895	-0.0809635996830186	-0.0758280421145513	-0.0563933258989768	-0.0559000517315737	-0.058388104775749	0.0111736859157729	-0.0881618369165444	-0.0579432172191531	-0.0603810276046162	-0.0644914088163723	-0.0366734124426216	-0.0628292962339992	-0.0721554397309487	-0.063417511427706	-0.0415194273102472	-0.0742547319356004	-0.0481306863115448	-0.0156131266514421	-0.0947326540616846	-0.0578364891283217	-0.0736883448077722	-0.0582472435833914	-0.0660866157060152	-0.064789421329783	-0.0708702023221407	-0.0631209720218742	0.0285724852353771	-0.0517933235508147	-0.0617261571427391	-0.0611969076025338	-0.0633277912987914	-0.0301640408311299	-0.0363340823891394	-0.043534241614376	-0.0821467828940014	-0.0635748870228584	-0.0687929020808365
HI	-0.0569676034693242	-0.0680125641886634	-0.0438990756235607	-0.0673648294794758	-0.0828858772428945	-0.12971276450373	-0.038595765465729	-0.0542873775087843	-0.0658759700730953	0.0288376296139147	-0.0800665280809428	-0.0578610834942604	-0.0331547986902748	-0.0959169125609372	-0.0135708878761129	-0.064693405399984	-0.0711489167765419	-0.0386034600759186	-0.020201585525602	-0.0574394161904946	-0.0287277132426934	0.00850447596884124	-0.123236314150987	-0.0389844864079993	-0.0828750470912293	-0.0840762147309968	-0.0515060860577769	-0.0433466721862114	-0.0820440206063792	-0.0485495071027052	0.0643695157235246	-0.0262355249488806	-0.0993737421292016	-0.0425026637674449	-0.0820589152912777	-0.0590165571827478	-0.065860406068222	-0.0307260338666641	-0.0848500075336242	-0.106370165557214	-0.119646268159566
IL	-0.056468670028442	-0.0748110022382833	-0.0542534804299275	-0.039165809514106	-0.0805701823495648	-0.0780118144456688	-0.0480698928896444	-0.0550962346108359	-0.0586197498140776	0.0130099086400131	-0.0875374590978221	-0.0523285697178561	-0.0512859835749069	-0.0661470718392361	-0.0277548042408086	-0.0587930108432433	-0.0683089224041815	-0.0578497243419453	-0.0341643849181219	-0.0716282803678509	-0.0407350907468018	-0.0093882747126088	-0.0970728994550285	-0.0507491069109043	-0.0758635833042908	-0.0597949280012006	-0.0609093329416461	-0.0592846045325055	-0.067896605049356	-0.0567769834626963	0.0315096722956225	-0.0423857885488459	-0.0637085857730751	-0.0555403963890513	-0.0638158112091723	-0.0331378409781321	-0.0362143350922772	-0.0405771303048544	-0.0812858591386503	-0.0655739956993886	-0.0712046107783266
IN	-0.0700414637487632	-0.0892647776090931	-0.0662624529930533	-0.037434243847797	-0.0897911666823743	-0.0790804334654037	-0.0628157277008335	-0.0635429800795681	-0.0631103120138358	0.0105953985937321	-0.0985713818782998	-0.0642506277855189	-0.0653599251774105	-0.0729384467772384	-0.0386032896568792	-0.0705952127690282	-0.0797687615601809	-0.0723505869586081	-0.0424147542329398	-0.0828383692169575	-0.0545580687319974	-0.016857252807404	-0.102501059958828	-0.0658168054184757	-0.0808649295440179	-0.0638986408985077	-0.071648604413222	-0.0716154424492354	-0.0791345109172022	-0.0683931583465271	0.0309721647999281	-0.0602590922852152	-0.0657087728028888	-0.0704153542521734	-0.0696105618623788	-0.0334192790988104	-0.0405801456120551	-0.0497425468740796	-0.0905334621520831	-0.0682751372984851	-0.0743989697917757
IA	-0.0707882035053469	-0.0912086580293228	-0.069650231088806	-0.0398560728914889	-0.0916580793665816	-0.0804996709992508	-0.0644597901896418	-0.0641032743819053	-0.0649626752443973	0.0147861180518536	-0.0999493887613073	-0.0650885833745054	-0.0685842278446867	-0.0712533103549366	-0.0393334937439563	-0.0715763093127307	-0.0815527274250302	-0.0729010739623683	-0.0415123821967339	-0.0855848914836742	-0.0560095178813313	-0.0176883564743155	-0.104459392229784	-0.0679582020133394	-0.0827105218914698	-0.064739062329036	-0.0761790320788521	-0.0725677851507408	-0.0779418865610432	-0.0718785806324559	0.032020088707321	-0.0596736276593848	-0.0668910067149815	-0.0730327542544472	-0.0714723403208013	-0.0346894470208859	-0.0388337793138151	-0.0497185707791148	-0.0929856854779141	-0.069303027993906	-0.0744982210323948
KS	-0.0670685205430806	-0.0866774944032358	-0.0661855286776243	-0.0378426522728083	-0.0880592876432082	-0.0780809431592677	-0.0633999828125744	-0.0624448673569296	-0.0641402588909245	0.0109920310425783	-0.0944048221463366	-0.0629108469224313	-0.0651689067573734	-0.0676178016259734	-0.0397750370458955	-0.0682481398837672	-0.0781343460656025	-0.0705054991506532	-0.0431038660077007	-0.0806773647087229	-0.0518993068718848	-0.0179558932738154	-0.0994009582863853	-0.0656330708099972	-0.0784758793648066	-0.0634379680752126	-0.0722420643885506	-0.0693301748359446	-0.0753916908813216	-0.0697832261340127	0.0307589583491461	-0.0584416222711627	-0.0631693060098903	-0.0711854561878597	-0.0691762163434446	-0.0343527968343486	-0.0375199263246158	-0.0492631201937686	-0.0873010402271865	-0.0665319102947021	-0.0724139232578548
KY	-0.0679309749522952	-0.0859908263656371	-0.0667489639260899	-0.0368143569096027	-0.0876856104812165	-0.0783519234448325	-0.0625486352649315	-0.0620460041381907	-0.0618928491523656	0.012809925085292	-0.095255101759614	-0.0635143126558159	-0.0662062553844085	-0.0683138154110304	-0.0407523844873031	-0.0683984507262211	-0.0785033971742009	-0.0709638021427331	-0.0425383331467507	-0.081463909316107	-0.0551940169837893	-0.0193097491563963	-0.0993779617975984	-0.0647760045312809	-0.0790697442129439	-0.0628185954015932	-0.07223444946846	-0.0712163907887327	-0.0761985672267388	-0.0701477804699438	0.0308528198224586	-0.058249893040491	-0.0644579856654304	-0.0705059547709067	-0.0681767919558629	-0.0327021447455502	-0.0384880642897087	-0.0494079642216915	-0.0888112437985095	-0.0667335930383139	-0.0721333763830793
LA	-0.0437904049581999	-0.0568024570308145	-0.0382842229505081	-0.033589377433271	-0.0606399652207351	-0.0701842172164881	-0.03600112707721	-0.040087348084223	-0.0428529869316646	0.0106469364321917	-0.0642797113199508	-0.0420173803699311	-0.0368559728702565	-0.055352727933215	-0.0180537487246328	-0.0466636006656855	-0.0526821745715847	-0.0381482672112286	-0.0208342946986897	-0.0502954599114913	-0.0276257556832635	-0.00314768472702812	-0.0791423759802299	-0.0362343725006381	-0.05601389845807	-0.051097390957085	-0.044582324486722	-0.0411201690303006	-0.0538298948250203	-0.0414134841788983	0.0288163264865147	-0.0296156646025779	-0.0552291181844112	-0.041594342979842	-0.0507704772785667	-0.0282215144828126	-0.0346254575702384	-0.0253709739357473	-0.0633105680808763	-0.0582485270950798	-0.0643795159726621
MD	-0.0613843278392902	-0.0800765502568754	-0.0574420670954041	-0.037167057377623	-0.0820904558106606	-0.077853059097997	-0.0532285467527274	-0.0558508620675025	-0.0570508310072524	0.0119955750340696	-0.0885429312863132	-0.0562746286640525	-0.0555138891557782	-0.0684265835349696	-0.0317190539504744	-0.0612589995315511	-0.0723460149817073	-0.062183072790992	-0.035555777874461	-0.0735344049711928	-0.0439699183600778	-0.0103872868210268	-0.0974448504726473	-0.056463486156265	-0.0753656676807416	-0.0589747612096946	-0.0632906471456785	-0.0609610983445197	-0.0702014771084865	-0.05969131507736	0.0309672147004816	-0.0494179430191255	-0.0631623665052283	-0.0619251782678642	-0.0647169943269885	-0.0331311811195659	-0.0374348352559046	-0.0400666996263339	-0.0815303572431227	-0.065614272554223	-0.0698859329343173
MA	-0.0517758349818762	-0.0695265072236483	-0.0476647823180149	-0.037257701980343	-0.0755051810249371	-0.0786524061027307	-0.0461416616763738	-0.0490078052118517	-0.0534872812817081	0.0130162033572669	-0.0831589178068	-0.0519150886109775	-0.0461853205521476	-0.0651493797727179	-0.0246093511619044	-0.0556894097360229	-0.0626426046575696	-0.0521495661563793	-0.0255447730160664	-0.0638038300555086	-0.0365857158146824	-0.00734843113130183	-0.0952646090070195	-0.0454914866612681	-0.0701130369186697	-0.0587085793820552	-0.055243391197947	-0.052161089998299	-0.0659593821561157	-0.0535181499140933	0.0379149107664076	-0.0407010035528333	-0.0619394765045486	-0.0522057436195773	-0.0618666014955086	-0.0333606495645132	-0.0358793791527623	-0.0336767130364857	-0.076348529399847	-0.0664821678917576	-0.0722253278265162
MI	-0.080564155171453	-0.0976536375051417	-0.0799291479873546	-0.0396441182380955	-0.0975412953809491	-0.0811043205796695	-0.0762103877650081	-0.0738554755026489	-0.0722927798999003	0.00950676698440416	-0.104379041314381	-0.0742725140435378	-0.0796955144167175	-0.0755680844276485	-0.0510727561738624	-0.0785442022079314	-0.0891462144757802	-0.0839636567720667	-0.0568563691207544	-0.0930339326456012	-0.0680492689838075	-0.0316547679682834	-0.102861308795218	-0.0799872523532096	-0.0885996245631378	-0.0690880637669879	-0.0839936981766276	-0.0831625514792892	-0.086083085062104	-0.0821109901366113	0.028327866686128	-0.0713048144323939	-0.0690566889797979	-0.0832164205218157	-0.0771605208562309	-0.0371011210792726	-0.0370337487552889	-0.0602052071492603	-0.0992641274232179	-0.0711315635983479	-0.0742260065043797
MN	-0.0795132857209485	-0.100357099673909	-0.0776905078222387	-0.040376271642931	-0.0990694744119786	-0.0826087545084841	-0.0742481749018351	-0.0729787775288838	-0.070810936920191	0.0100287477980732	-0.109330852648172	-0.0729626079273557	-0.0776213890084633	-0.0768312742600362	-0.0451032356087953	-0.0782192559984024	-0.0875738346470691	-0.0839303735349065	-0.0525825843678538	-0.0952335505955082	-0.0652822357481813	-0.0253017800477481	-0.108531585180005	-0.0771540366250508	-0.0906151214924488	-0.0703190722988739	-0.0855469021067727	-0.0835358159651918	-0.0849374100831316	-0.0813547776644836	0.030932779535241	-0.0711367914542034	-0.0662882811828403	-0.0818449366817162	-0.0787492066715301	-0.0360645685825035	-0.0414046747474112	-0.0591279590203679	-0.101921032423137	-0.0724280046773055	-0.0748823460019572
MS	-0.0428836364820382	-0.0526256963323975	-0.0346605354923651	-0.031409568839688	-0.0581251534743635	-0.0697330590306555	-0.0330700491893864	-0.0373973820136095	-0.0417900251155781	0.0134574640260925	-0.0612321194798303	-0.0389430033504846	-0.0323378587050434	-0.0558480665234669	-0.0154100582682211	-0.0427751202402904	-0.0485575653303892	-0.0350299449137184	-0.0169869474539534	-0.0457539771272622	-0.0279301554570899	-0.000806639719124546	-0.0752914258502004	-0.0339667765095257	-0.0536828155019659	-0.050780333334825	-0.0392551626439475	-0.0364883732789353	-0.0534613319810822	-0.0386572398970341	0.037092266856292	-0.0252071223875481	-0.0551937630696187	-0.0381544224412654	-0.0506151113331954	-0.0311407915750045	-0.0324438758749747	-0.0248841727227398	-0.0592739603254266	-0.0591692092374152	-0.0634303697359917
