X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
AL	-0.0235030176190745	-0.0414728024070349	-0.0378905524737681	0.0280734594473366	-0.0247737024574612	0.0436979883016861	-0.0425631968541799	-0.0207631308556992	-0.00837149955269535	-0.015353049645622	-0.0419009428668421	-0.0187253568012656	-0.0419814396365313	0.0192082177106606	-0.0309893151499788	-0.0169099702065755	-0.0195537388882864	-0.0461670788124001	-0.0318559543609186	-0.0454273477090943	-0.0289615371428486	-0.0313098008075892	-0.0104693203181552	-0.041377621060917	-0.0137837699216248	0.0160487345735545	-0.0406529476935462	-0.0429077867046427	-0.00913576402905902	-0.0383344316766649	-0.0402804090396878	-0.0472884111597057	0.0337447155661728	0.0294976656524397	-0.0406615780766927	-0.0415596976556217	0.028255947036621	-0.0457394118986654	-0.00244506180211424	-0.0501349841392142	0.0255498569396816	-0.0401105346583122	-0.00979789457149452	-0.0144988493137241	-0.0449878296166288	-0.0303868550992342	0.0281148447581714	-0.0330143918183098	-0.0387539420888033	-0.05095763224471	0.0398738265167574	0.0252476734464673	0.0286093869609016	-0.0178461453047612	0.0290413230954183	-0.0389781740504472	-0.0312255488104484	-0.0281717704260797	-0.0226073295025305	-0.0371556921218899	-0.024306126703884	-0.0417880271332815	0.0191612016849761	-0.0413779162758863	0.0336331045229797	0.0291243332853237	0.0261397341670428	-0.0524404911608823	-0.0260123017952593	-0.0380283415763541	0.0390299207922542	-0.0429311506150234	0.0416513235127723	-0.00615039726153898	-0.0354826210686708	-0.0491576206877307	-0.0272367259630211	0.0419662505361711	-0.0276182922303554	0.0343435008219497	-0.0272477068278298	0.0245822993797387	-0.0358563705500832	-0.0210213902827103	-0.00712814709259326	0.0273629595410324	-0.004289424919298	-0.0293486324088061	-0.00674639664764643	0.0418691495845537	0.0346105266747797	-0.0360223454997525	-0.03239078408337	-0.0363108211582754	0.044666593224816	-0.0314902423499089	-0.0281516257923156	-0.0408516864960639	-0.0262478840465775
AZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	-0.01030417271271	-0.0226078790582389	-0.0220948828027116	0.0307828300778395	-0.00700826879208104	0.0525565124374187	-0.0261754270902337	-0.00937528176027658	0.002190832290452	-0.0207990528076861	-0.0194086127703347	-0.00486571525977056	-0.0264973915670661	0.028419228962967	-0.019577376457765	-0.0057109997725737	-0.0062032056053738	-0.0309274760711236	-0.0208141893234598	-0.0266711246472961	-0.0185776219592236	-0.0255882775251578	0.00840815875305408	-0.0278156397143717	0.000472479916500302	0.0198437015147154	-0.0226326511059655	-0.0259119370704377	0.00568249936838825	-0.0230591669052053	-0.036855811517122	-0.0330990974889258	0.034905274426961	0.0370068959962052	-0.0240359768320593	-0.0238150977480238	0.0264842260584629	-0.0321961653777072	0.00562823240965161	-0.0348149213355338	0.0268539298228279	-0.0244357786472315	0.00639799456427298	0.000428944372660843	-0.0281796658596265	-0.0156367382873135	0.0314076216358632	-0.0222524377844867	-0.0259597166630418	-0.0347662705729451	0.0503559101322265	0.0351438241980974	0.0341377828547368	-0.00455373037921021	0.0382534056561002	-0.0254195557175061	-0.0132823925644094	-0.0170770321612211	-0.0101618600926287	-0.0204668242059227	-0.00700962016068126	-0.0257692588695173	0.0288605045616066	-0.0239872460630569	0.0413799142805263	0.0301854305272125	0.0346317405929802	-0.0369555371580747	-0.00922226936653326	-0.0249634037419528	0.0503077278870072	-0.0293671964509228	0.0493085291313312	0.000976065262020154	-0.0213440994904085	-0.0279180870796345	-0.0137431810726411	0.0490614398542435	-0.0199924060665127	0.0394333536680246	-0.0145812681809513	0.0368228271013137	-0.024934223946379	-0.0148212685179381	0.00126459619426803	0.0296500109636618	0.00501150843621379	-0.0143495706230388	0.00690634368961599	0.046745879178446	0.0376753479895413	-0.023467954285298	-0.0167154073583688	-0.0155575360658029	0.0510507044702105	-0.0173970811923483	-0.0109214743469202	-0.0305606960044867	-0.00982826508650554
CA	-0.0183356992926377	-0.0345516863059535	-0.0312811847219093	0.0292959033882331	-0.0185748085635482	0.0444978399636086	-0.0364637228280793	-0.0185699630711541	-0.00530288125653717	-0.0203419794802172	-0.0351443207227316	-0.0128041379223965	-0.0385893096847377	0.0204746236209248	-0.0260714244998633	-0.0156160225756118	-0.0159783069362509	-0.0409491187399229	-0.0285578852592734	-0.0383701824780272	-0.0265579141184108	-0.0293072730290249	-0.00266351462550908	-0.0372994464134511	-0.00891851086895604	0.019545407494535	-0.0352048012103717	-0.0383366638214959	-0.00427549896674163	-0.0311707321990974	-0.0380068170719258	-0.0413413243911351	0.0340257644605339	0.031448379679629	-0.0368324583564034	-0.0362555263667068	0.0295758625307323	-0.0399766161696634	0.000129808201585746	-0.0438802670105451	0.0253821507616646	-0.0337038172666767	-0.002389025179908	-0.0102092178835698	-0.0383090239878577	-0.0271102856177639	0.0316941576124715	-0.0307433742451232	-0.0339089911443562	-0.0448171120419029	0.0437474672396455	0.0305141376237976	0.0277864388437684	-0.0156898108625894	0.0314721250986134	-0.0352163117040338	-0.0229078606617782	-0.0232446028212176	-0.0184617837781964	-0.0319824085909785	-0.0191313011821196	-0.0359284954251493	0.0219937861571915	-0.0368337300959057	0.03522422622037	0.0277340068955882	0.0285000400288448	-0.0496635698001895	-0.0208269117525604	-0.0327689641945232	0.0421744118310596	-0.0381469192072176	0.0428656571733651	-0.000477605206795738	-0.0310226988450561	-0.0416826417623299	-0.0232777084930299	0.0442894794531567	-0.0222985197008522	0.0351152496277038	-0.0231390534037792	0.0286993608994912	-0.032940402882999	-0.0216535193134549	-0.00714630624920674	0.0282280787330754	-0.00237733367006115	-0.0235814738425372	-0.00261260463304508	0.0431801321354026	0.0368852049777758	-0.0290827403071569	-0.0270274413500978	-0.0311850739569947	0.0458068807096955	-0.0278381489613062	-0.0206608506006095	-0.0362947836341427	-0.0224229507952351
CO	-0.0147750008768507	-0.0302657302681675	-0.0277100034635962	0.0285528701687761	-0.0148552776579685	0.0445794043756141	-0.0328683143195629	-0.0172656743530701	-0.00260782951333139	-0.017446463844483	-0.0292753209474705	-0.0123780028410318	-0.0346756177289275	0.0185744988914769	-0.0259236151616964	-0.00914685471382428	-0.0138627272262565	-0.0355499972221977	-0.024792969145794	-0.0351201906777202	-0.0254037310843546	-0.0260217092247143	-0.0024128680156868	-0.0334082239454601	-0.0058634178668129	0.0159142685209567	-0.0315078797776948	-0.0317052825465597	-0.00143828972329382	-0.0293113766967231	-0.0358311373007795	-0.0376195213001577	0.0328477424283663	0.0346077007312331	-0.0323106082204009	-0.0326377748805595	0.0275526818866133	-0.0369496910864387	0.00400264080058341	-0.0397364158742552	0.0268875925410186	-0.0311145131817166	-0.00157970971552905	-0.00758478441298327	-0.033955920144709	-0.0230247364752649	0.0291904000477186	-0.0260022693922344	-0.0310270374187313	-0.0403294505164308	0.0424077349787001	0.027488287093353	0.0295138329244852	-0.0115565128971779	0.0324121288564506	-0.0317768456165042	-0.0189727115915158	-0.0229493135229685	-0.0165080357847934	-0.0300757201382423	-0.0145895530403447	-0.0324292604249188	0.0214116836811245	-0.0310845909581492	0.034804900393312	0.0277332846195999	0.0263210647083327	-0.0427862200981162	-0.0161563099712726	-0.0293454489805014	0.038464814980226	-0.0339581391891701	0.0397329783625381	-0.00213864149627057	-0.0257404927091079	-0.0355460919798959	-0.0202512220131347	0.0425309806805837	-0.0222564788087135	0.0335119092709549	-0.0194841175031456	0.0265993207982433	-0.0324191108224613	-0.019639694244631	-0.00803139857774215	0.0262777354924347	0.000720818162700265	-0.0206397925433443	-0.000773040215532134	0.0415041379297567	0.034516581539718	-0.0291405967237753	-0.0235422107450774	-0.0248508738082333	0.0459587891724768	-0.0243325671679936	-0.017200173094326	-0.0333920571543982	-0.0168330676632714
CT	-0.0209100662465574	-0.0363924233351957	-0.0331096581828087	0.0249054390905365	-0.020971259141392	0.0395937696353809	-0.0364721052326634	-0.0209155577900752	-0.00883297475786925	-0.0171813394392258	-0.0356918740589067	-0.017389110305469	-0.0369513290040927	0.0166151279052354	-0.0286788235626437	-0.0171505757117059	-0.0188005912588174	-0.0399757583558291	-0.0282501608036104	-0.039536772579267	-0.0269527672837557	-0.0287830009766099	-0.0101840426324297	-0.0389520455154158	-0.0119850702724253	0.0129780589199567	-0.0373624694236194	-0.0389746511853821	-0.00681345199341762	-0.0344259515980072	-0.0377391203284163	-0.0428585453123787	0.0299380368233042	0.031745561977687	-0.0368154829865691	-0.0367993474587758	0.0266880516311954	-0.0407264817229769	-0.00195365369565927	-0.0433981316964115	0.0233893759261148	-0.0344714400726518	-0.00685168689170083	-0.0121900706160751	-0.0392789564520962	-0.0277533112984107	0.026303208789255	-0.0328445304081701	-0.0345174814537408	-0.0455934288976277	0.0377679529872103	0.0240130307089701	0.0259847728384336	-0.01829327739814	0.0250035739860466	-0.0370617840783412	-0.0258430585079595	-0.0267789818682487	-0.0211764950457542	-0.0347258962822881	-0.0223409315221416	-0.0389146911736194	0.0178545078213108	-0.0367716856180923	0.0309362783006929	0.0235463276029778	0.0229983353585761	-0.0479050341212038	-0.0209143409242154	-0.032205097762297	0.0355398678853844	-0.037688392578445	0.037768822009305	-0.00418863956669078	-0.0333801110664865	-0.0417188410570099	-0.0257884168123695	0.0387933841208047	-0.0242391419063302	0.0324614337596552	-0.0228094652631223	0.0247308377085804	-0.0360283336686438	-0.0246556335597993	-0.00951671704061214	0.0251390300932322	-0.00342476188994219	-0.0266000839956753	-0.00497534704790363	0.0377419696469536	0.0315294245933704	-0.0315658109595774	-0.0292294438814315	-0.0303858264750194	0.0413926857507967	-0.0302630846073874	-0.0237155636877135	-0.0381819155841777	-0.0231777580921333
DE	-0.0163012785565961	-0.0305271678234027	-0.0288754957476049	0.030373536594866	-0.0147664393452764	0.0457490758278941	-0.0322132382895714	-0.0153394903969101	-0.00345920178892881	-0.0173649613797983	-0.0285374874112871	-0.0125121569567527	-0.0339959305426975	0.0215436086476421	-0.0265620420995078	-0.0108000804844185	-0.0140347633659743	-0.0355059201403592	-0.0244215642073567	-0.0352217099086475	-0.0247930050657733	-0.0269874431704215	-0.00117928301203763	-0.034349743491147	-0.00538032594993706	0.0158274213937327	-0.0297609546768534	-0.0340013379115643	-0.000952011049732693	-0.0276228228063413	-0.0345750937705347	-0.0371358520270381	0.0322803182172364	0.0337711427939628	-0.0325536146352389	-0.0308872485207217	0.0244436521383447	-0.0366083894125767	0.00507727441504159	-0.0401544718061049	0.0271607535024826	-0.0308427271679487	-0.000929032760707804	-0.00548487449839195	-0.0345946203119597	-0.0236026362989805	0.028610485108426	-0.0283078491162361	-0.0300452668726964	-0.0397029891852196	0.0432181564861004	0.0284796303565218	0.0293252521731843	-0.0109220721485382	0.0308477363437665	-0.0310398255269581	-0.0199368177288304	-0.0221397525677784	-0.016054243224096	-0.0285930960084673	-0.0151881040525069	-0.0331380158755646	0.0208316376695348	-0.0304711502212214	0.0345778190930831	0.0268502635432846	0.0284448333785674	-0.0438055347804137	-0.0147901841846231	-0.0297186523152403	0.0414114144400943	-0.0346457988575686	0.041757198454775	-0.0052964217211145	-0.0285935866777575	-0.0354103969042117	-0.0226898676318205	0.0438423523929798	-0.0215730532702352	0.0346230450820066	-0.0180734029144419	0.0278607339736481	-0.0301649201959673	-0.0206886118005695	-0.00545066477557786	0.0265051257703337	0.000871271322774052	-0.0214183548431824	0.00123710026360942	0.0419135767256793	0.0347343617438338	-0.0296519676521029	-0.0243507315376423	-0.0247660879588238	0.0445488398272237	-0.0255116461384691	-0.0176771682565663	-0.0326636021116714	-0.0173968175808718
GA	0.00931691383165318	0.00367580155802885	-0.00348262356265576	0.0324004602949366	0.0208810948886438	0.0633138015405597	-0.00608586321115676	0.0121273747684873	0.0196383419739764	-0.0158558576317823	0.00897329395382803	0.0110111071192577	-0.00821908203920184	0.0418196010104351	-0.00769880424507209	0.0135622250955103	0.0135586122450578	-0.00786964173398161	-0.00737070555705041	-0.00123467007982914	-0.0029072425437422	-0.0179779423813074	0.0383076164417128	-0.00518679714358394	0.0226353307444222	0.0328129348895881	-0.0020634693496066	-0.00376806503953452	0.0213701320583199	-0.00303720707354556	-0.0358321507405278	-0.0131348578104974	0.0387527765772493	0.0435043780062506	-0.00903476051228821	-0.00202984344695888	0.0291469199166587	-0.0097922193779656	0.0268739672878562	-0.0219505868165356	0.0324569636730253	-0.00670659234643657	0.029104045021692	0.0226826005029365	-0.0043183315185249	0.00964370687957962	0.0340294270011846	-0.00213168005235855	-0.00906125118844352	-0.013545055355649	0.0623059220740775	0.047225321044339	0.0463060290168184	0.0136976487183683	0.0557675758982525	-0.00509562132372844	0.0132588702012996	-0.00325913293203143	0.00902314870089335	0.000856712938159978	0.0157985116262697	-0.00638906759206917	0.0448022810029894	0.00263055735719185	0.0461980459390341	0.0322489019225064	0.047397152612531	-0.0144243285240929	0.0164642546965125	-0.00836018471777287	0.0653393628966251	-0.0136539767902288	0.0623965026988663	0.0104740830450234	0.00249199221068002	-0.00100049696547671	0.00764821711905307	0.0588931109052949	-0.0145585638909665	0.0528201386936557	0.0054653338911433	0.048986907397929	-0.00413562266138505	-0.00243880865120752	0.0146266428786165	0.0391712647580474	0.0212033170356803	0.00562032656127731	0.0243516777315063	0.0584870805109079	0.044274205114869	-0.003377441077094	0.00698353838692046	0.00729270226116722	0.0660132590251025	0.000212172203622176	0.0152307903608185	-0.0118944303219608	0.0133038978506368
HI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL	-0.0197589581563106	-0.0356885316605949	-0.0323393414964134	0.0268553543854585	-0.020345106929343	0.0398659882548624	-0.0372552147520582	-0.0195856837298144	-0.00867570303281781	-0.0177029869236909	-0.034909819319609	-0.0144098259805323	-0.0377523320399159	0.0176953928232904	-0.0284364953353631	-0.0152224359160929	-0.0183009214923247	-0.0419688696810048	-0.0274830404566685	-0.0395243277360735	-0.0268866927804789	-0.0294527784343531	-0.00676833295547245	-0.0371121878899957	-0.0113545704488658	0.0125758065419697	-0.0359323840260221	-0.0383873339781334	-0.00410510168770711	-0.0334854532353215	-0.037487987004698	-0.0401997511681408	0.0309678343507476	0.029132580563632	-0.0365072199059795	-0.0346450813976263	0.0252935680116997	-0.0424791646152894	-0.00280230925053987	-0.0437894316516841	0.0241180966996829	-0.0344455621448173	-0.0062451445781469	-0.0122002288551374	-0.0402410764320697	-0.0275589229528027	0.0269178568302712	-0.0327593191885453	-0.0346356066941284	-0.0448400646955485	0.0373774838498222	0.0252538286882624	0.0244821013548215	-0.015148286650491	0.0303900484676312	-0.0366680938949732	-0.0258288162296695	-0.0267809808584509	-0.0217488638533629	-0.03357004721041	-0.0202590794907459	-0.0374201809880093	0.0165224358097329	-0.0374699949893399	0.0321492124787198	0.0257236391517349	0.0223419153713276	-0.0467968070337011	-0.0198429182784395	-0.0346172004524911	0.0352796277028651	-0.0381542469514236	0.0388672222167947	-0.00707024411568166	-0.0326449769042451	-0.0407932660343672	-0.0270238053513814	0.0383096110710943	-0.0243267830307394	0.030800406207291	-0.0225157652981739	0.0241504215952725	-0.0347064649562226	-0.0226652853643793	-0.0102441986484722	0.0241408927458571	-0.0035056631786899	-0.0261472805369699	-0.00523921805487037	0.0393689817833975	0.0319028948095996	-0.0332679565830631	-0.0283233611335619	-0.0301557501992872	0.0422811272808084	-0.0305258816975446	-0.0234448595705435	-0.0376470703887931	-0.0241073960575924
IN	-0.00278032881699189	-0.0152962057895347	-0.0182892269396276	0.0322559048566363	-0.00120177937217171	0.0531787366839945	-0.0209281881296466	-0.00605238727134549	0.00533650253950964	-0.0154570249045534	-0.012135683188324	-0.00312251286516229	-0.0207231102524131	0.0261468033519451	-0.0174702592447833	0.00100832403873046	-0.0014702467994203	-0.0237969582388252	-0.0177439308502223	-0.0173625843285814	-0.0133562513901571	-0.0201751187564343	0.0144894388229532	-0.0223673481459744	0.00507176220467938	0.0237331019072633	-0.0161116724857584	-0.0207960522248488	0.00853819166729575	-0.0138395801056497	-0.0349375683893143	-0.0263265947370357	0.0347760405948618	0.0372936699493388	-0.0200246446439668	-0.0193590264627184	0.0273934375179773	-0.0267064995778208	0.012254652030547	-0.0312555417144756	0.0247752721069565	-0.0181284367204406	0.0101000402456941	0.00775389091649999	-0.0234472393879031	-0.0113776246378637	0.029248953960028	-0.0144672674436346	-0.0213863483453017	-0.0296838933368224	0.0500966564922448	0.0388960219571827	0.0350738785554953	0.000340637613056242	0.0371559568536837	-0.0210916810692911	-0.00699187438727036	-0.0147402555142358	-0.00625513966378065	-0.0153574434278515	-0.00239000930013091	-0.023964594405366	0.0293294869365321	-0.0155498167014395	0.0400439897613003	0.0287780332136721	0.0324878362810386	-0.0302089699959676	-0.00335099244095036	-0.020363811798058	0.0515026664745446	-0.0250155139853214	0.0498574884580638	0.0017822017413707	-0.0155720858512138	-0.0195299954917124	-0.00843771160645849	0.0468294737232944	-0.0194890746167668	0.0411379963216898	-0.00930540061410672	0.0388234697960232	-0.0179304214226508	-0.0111442536403384	-0.000329884954886484	0.0305691449855231	0.00878467759406481	-0.0100884947970308	0.00849646546129602	0.0458951604641541	0.0378482360439742	-0.0152969686890157	-0.0110685126525176	-0.0115543901466053	0.0542970454695645	-0.0136765784089497	-0.00420432696602794	-0.0220403009477888	-0.00563410434276015
IA	-0.00768625487798833	-0.0182584484094059	-0.0201703360427642	0.0282576719518192	-0.00255054474097524	0.0493963255928445	-0.0227194460233797	-0.00889840498628074	0.00278153718143155	-0.014804761690886	-0.0160230049560206	-0.00643741695684748	-0.0237997285701968	0.0272544505178344	-0.0185392448405713	-0.00375926091727083	-0.00595290387565676	-0.0256995703735952	-0.0180494147359721	-0.0219865420490516	-0.0176610647142712	-0.0225589380742691	0.0118196491406229	-0.022742228022022	0.00340055307525022	0.0242136703786583	-0.020119636824695	-0.0231704415497234	0.00602205658039976	-0.0187602000821599	-0.0336533123265574	-0.0275700661774689	0.0329873077530877	0.0339306221416835	-0.0225873259729523	-0.0215793336073785	0.0257739169731992	-0.0268745090688372	0.0106381948048964	-0.0324215044257673	0.028094885621192	-0.0204562232973625	0.0110806536733328	0.00345634830557396	-0.0261373140806988	-0.0147937041670533	0.0298936154998737	-0.0184036786367021	-0.0217954698662907	-0.0320025831232874	0.0472223678603486	0.0347720937975788	0.0351747967531715	-0.00392385884611631	0.0398328276242223	-0.023323664188678	-0.00750018904885893	-0.0151639256286222	-0.0105352456825023	-0.0184020661470082	-0.00472573633045539	-0.0240461194738843	0.0295786316454021	-0.0186096775027344	0.0363805961871297	0.0261974672872662	0.0321148184321377	-0.0335275164557267	-0.00404654616572462	-0.0220223794138071	0.0474345459814797	-0.027029461719548	0.0485395188541098	0.000317226221479925	-0.0170636444555738	-0.022801932806985	-0.0120089326599663	0.0457570475623594	-0.0186490161752858	0.0405843408646042	-0.010792285244164	0.0310427460343796	-0.0218528577848582	-0.0133523512743209	0.00049519492590473	0.0303097814245578	0.00758473789104588	-0.0126149298094633	0.00756107926982487	0.0454320001082782	0.0367426760291396	-0.0190257808307496	-0.0120826852490754	-0.0105528739020465	0.0522049021534522	-0.0164898621162774	-0.00760130757899933	-0.0266692612718991	-0.00790822037329095
KS	0.00401998100589383	-0.00825513598273502	-0.0108877677839286	0.0327152249766976	0.00803383230147195	0.0567118909081612	-0.0148495220330177	-2.90580359636678e-05	0.00813728588257649	-0.0146898658293775	-0.0034133735792021	0.0032536551598177	-0.01597910070088	0.0348650669850736	-0.0164131130632827	0.00518607553154093	0.00479738301832448	-0.018652474600349	-0.0128698412203329	-0.0119775391143982	-0.00845571034199459	-0.019309417244171	0.0246824541081856	-0.0151158490991154	0.0141148196470331	0.0267491322894794	-0.0125392352487754	-0.0139513074630717	0.0151375680985466	-0.0114254051577182	-0.0332259805599711	-0.0201505770093868	0.0365351779049747	0.0423628409392992	-0.0130518134231095	-0.0137911628860433	0.0259822280837328	-0.020624413680821	0.0168363513553524	-0.0270180447275115	0.028843716443123	-0.0144990484394958	0.0199435922226025	0.0148593259447573	-0.0164208074994116	-0.00266248824400603	0.030350948622698	-0.00960865440883015	-0.0174273902707675	-0.023571475254519	0.0552211718313752	0.0423622384302659	0.0436828014815101	0.00532440699934143	0.0465555852544015	-0.014226390857362	0.00139806725614099	-0.00767831966643297	0.00261124926531316	-0.0123039599070038	0.00544737520204952	-0.015656913923748	0.0339009357865484	-0.00954148288059507	0.0411915912389633	0.0294543191490606	0.0374002910790932	-0.0255793100215392	0.00892447382343362	-0.0141284589265454	0.0567926904535375	-0.020923750893444	0.0559543117049776	0.00430206937010339	-0.00758210692879329	-0.0113493369392592	0.00157233594446831	0.0509001076899625	-0.0166599640701111	0.0479716718507437	0.00078871981031316	0.0414124166325294	-0.0131498705648294	-0.00792887090770855	0.0073134772331697	0.0331688561384372	0.0144383644887823	-0.000922295498188957	0.0128250222412342	0.0518568287419806	0.039143350258649	-0.012585249519819	-0.00374920304714515	-0.0023445126695864	0.0601546197354073	-0.00786599584378721	0.00526255319460383	-0.0183808309007736	-1.67744818564795e-05
KY	0.00141561061750235	-0.0036150923433437	-0.0121098125854892	0.0309076878821473	0.00905551224308983	0.0569303268145615	-0.012597936696634	0.00230874454127074	0.0139628279605811	-0.0153943137442406	-9.91162492293283e-05	0.00430923363127711	-0.0138410453878143	0.035671212405891	-0.0127057164292849	0.0091509849979075	0.00660484020501983	-0.0155361610872521	-0.0109960426336774	-0.0108544569249371	-0.00837979758643578	-0.0181756622542747	0.0264257476325541	-0.0121374670537464	0.0139098435155872	0.0292668204540524	-0.00956899302383165	-0.0135206592705554	0.0160996835056253	-0.00893364711296505	-0.0346334569073876	-0.0168170204793867	0.0360734713156323	0.0400208469312287	-0.0120499104832327	-0.00986859259325137	0.0290308090997375	-0.0187997924082153	0.0212452993518493	-0.0237836490100291	0.0275054986761589	-0.0121129819855547	0.0207899205484219	0.0140211888448184	-0.0150816354439338	-0.00267390239320446	0.0289559053978323	-0.0101240331276345	-0.0146434827527224	-0.0225233237400044	0.0557754832784869	0.0443063896743362	0.0436737848945508	0.00835988240037708	0.0477905189605578	-0.0107695576847321	0.00454405812261509	-0.00776736783943909	0.00143071379778671	-0.00726629183829819	0.00664432169078513	-0.0129956711978568	0.037892896999591	-0.00684689867273655	0.0422200371995768	0.0302053801524571	0.0403595460482952	-0.0226211860240982	0.00868850085239256	-0.0128889577537297	0.05948487086372	-0.0193080565192022	0.0555958437049659	0.00421831354506065	-0.00544167207399323	-0.00809794994014016	-0.000460222509824476	0.0552611077762332	-0.0144661137251374	0.0460649976067162	0.000509374236241361	0.0437501736068298	-0.0122831515630909	-0.00693770635608964	0.00715871017723164	0.0389802139461744	0.0172702779345023	-0.0025956204330868	0.0180592515734708	0.054174768621902	0.0406033983297976	-0.011530349815427	-0.00183837036552249	0.00358266759557148	0.0594309473728196	-0.00517424524244952	0.00655514887801928	-0.0179634228163683	0.00428449905558861
