date,South,Midwest,Northeast,West
2019-01-01,442.251494968562,465.2995936734836,443.5640691118424,443.87804741100933
2019-01-02,442.4476150578278,465.37991802904367,443.65160274193187,445.0808005381489
2019-01-03,442.6145916513161,465.42133781136397,443.7007121156068,445.14215441013204
2019-01-04,442.7521987057596,465.42377461502264,443.7113081492965,445.1915195612799
2019-01-05,442.86023954855017,465.3871888481489,443.6833400460708,445.20565830030637
2019-01-06,442.9385467151953,465.3115789449795,443.6167945795435,445.1845399377702
2019-01-07,442.9869817203371,465.19698049569564,443.51169525278516,444.6057473308868
2019-01-08,443.0054347636954,465.04346528454806,443.3681014011005,444.5140966086754
2019-01-09,442.99382437339426,464.8511402658213,443.18610721475375,444.38727332491004
2019-01-10,442.9520969946129,464.620146456343,442.965840690836,444.2253890636946
2019-01-11,442.88022651819296,464.35065780108397,442.70746253122456,444.05117507933244
2019-01-12,442.7782137705584,464.0428799650765,442.41116499749785,443.81933501737075
2019-01-13,442.646085954799,463.69704909976764,442.0771707271163,443.55281426997794
2019-01-14,442.48389605529667,463.3134305788191,441.705731504308,443.7799411914259
2019-01-15,442.29172220485043,462.89231771219363,441.29712702491673,443.4404513317241
2019-01-16,442.06966701953183,462.43403044488366,440.85166363922025,443.06621949899585
2019-01-17,441.8178569192939,461.9389140493501,440.36967307108324,442.58642377336764
2019-01-18,441.5364414113604,461.4073378085774,439.8515111664138,442.1449132467983
2019-01-19,441.2255923609221,460.8396937248237,439.2975566101652,441.5697468313066
2019-01-20,440.88550325177306,460.2363952199323,438.70820967329007,441.0624190606164
2019-01-21,440.51638843202744,459.59787586010873,438.0838909576401,440.1836857973549
2019-01-22,440.1184823465391,458.9245881011547,437.4250401867386,439.6839690494041
2019-01-23,439.69203877264584,458.2170020581206,436.7321149804672,439.0805921813898
2019-01-24,439.2373300465329,457.4756042999953,436.0055896800191,438.3889423325596
2019-01-25,438.75464629718255,456.70089667764137,435.2459542022304,437.7216487654461
2019-01-26,438.2442946730786,455.89339518735756,434.4537129170951,437.353400022938
2019-01-27,437.70659857821875,455.0536288681766,433.6293835529667,436.6212221104827
2019-01-28,437.1418969175857,454.182138734232,432.77349614286646,436.0135290014033
2019-01-29,436.5505433428559,453.2794767447423,431.8865920174855,435.22223493211976
2019-01-30,435.9329055130866,452.3462048211361,430.9692228181601,434.4006558848067
2019-01-31,435.2893643630195,451.3828938929417,430.0219495582409,433.5513646235221
2019-02-01,434.6203133875282,450.3901229900216,429.0453417110315,432.6748320174558
2019-02-02,433.9261579320133,449.3684783777136,428.039976353075,431.77154374227325
2019-02-03,433.20731450064494,448.3185527245601,427.0064373269782,430.8419979553857
2019-02-04,432.46421007708256,447.2409443086749,425.9453144665426,429.88670338902205
2019-02-05,431.69728146667944,446.1362562726386,424.85720282388013,428.9061777974265
2019-02-06,430.90697464291884,445.00509590994795,423.7427019691434,427.90094669747515
2019-02-07,430.0937441175661,443.848073982732,422.6024153046631,426.87154228412567
2019-02-08,429.2580523319611,442.6658040902255,421.43694942069635,425.81850250016583
2019-02-09,428.4003690478752,441.4589020564005,420.24691348561674,424.7423702247926
2019-02-10,427.521170774042,440.22798536857476,419.03291867112665,423.6436925297465
2019-02-11,426.62094020442163,438.9736726313567,417.79557759750105,422.5230200218348
2019-02-12,425.7001656645829,437.69658306850874,416.5355038355002,421.38090623593513
2019-02-13,424.75934059336237,436.3973360462218,415.2533114241395,420.217907078641
2019-02-14,423.7989630223405,435.0765506325459,413.9496144027611,419.0345803047743
2019-02-15,422.81953509541955,433.73484518428154,412.62502640358935,417.83148504949486
2019-02-16,421.82156258615686,432.37283695592237,411.2801602492993,416.60918138278345
2019-02-17,420.8055544482396,430.9911417450786,409.9156275891602,415.3682298901949
2019-02-18,419.7720223774944,429.5903735642302,408.5320385546529,414.1091912958016
2019-02-19,418.7214803955603,428.1711443310156,407.130001445697,412.83262609983694
2019-02-20,417.6544444460829,426.73406358359534,405.71012243508295,411.53909425130803
2019-02-21,416.57143202417234,425.2797382358021,404.2730053079713,410.2291548279543
2019-02-22,415.47296180692547,423.8087723304687,402.81925121609436,408.90336577240237
2019-02-23,414.35955331620903,422.3217668397888,401.34945845175946,407.5622836024494
2019-02-24,413.23172659528996,420.819319473043,399.8642222631076,406.2064631941888
2019-02-25,412.0900019023165,419.30202450962463,398.36413466583326,404.83645754616236
2019-02-26,410.9348994320248,417.770472660214,396.8497842924903,403.45281758462465
2019-02-27,409.7669390417857,416.2252509339462,395.3217562643908,402.0560919853368
2019-02-28,408.58664001345574,414.66694254154413,393.7806320645422,400.64682700758755
2019-03-01,407.3945208199992,413.0961268089947,392.22698946225466,399.225566358601
2019-03-02,406.19109891966235,411.51337911514634,390.6614024266094,397.7928510680377
2019-03-03,404.97689056783327,409.91927084090315,389.0844410703706,396.34921938313
2019-03-04,403.752410637884,408.3143693489835,387.49667162629487,394.895206687094
2019-03-05,402.518172477297,406.6992379645302,385.8986564082013,393.43134541712095
2019-03-06,401.2746877681425,405.0744359949721,384.2909538361176,391.9581650354227
2019-03-07,400.02246640768436,403.4405187460994,382.6741184277707,390.476191972078
2019-03-08,398.762016412056,401.7980375672022,381.0487008509979,388.985949621368
2019-03-09,397.4938438294035,400.14753990534723,379.41524796011817,387.4879583304859
2019-03-10,456.21840806894835,458.48924348606454,437.77430286947464,438.43383238614837
2019-03-11,454.93630027609436,456.8243399848264,436.1264050244572,436.9359731380012
2019-03-12,453.64797565461663,455.15303974732797,434.47209030350564,435.4178269710513
2019-03-13,452.35393187519986,453.4758754920904,432.8118911258358,433.8939833026925
2019-03-14,451.0546644607357,451.7933765491589,431.1463365593593,432.3649477493782
2019-03-15,449.75066679291876,450.1060689860373,429.4759524751233,430.83122317000135
2019-03-16,448.44243012896067,448.4144757751284,427.8012616775103,429.29330976336513
2019-03-17,447.1304436391374,446.71911694346784,426.1227840607566,427.7517051656743
2019-03-18,445.81519444349715,445.02050975635194,424.44103677926535,426.2069045741869
2019-03-19,444.4971676656632,443.3191688885742,422.7565344251256,424.65940086147964
2019-03-20,443.1768464913976,441.61560662435375,421.06978920129427,423.1096847080918
2019-03-21,441.85471224646165,439.91033304375105,419.3813111230214,421.55824475018863
2019-03-22,440.5312444639071,438.2038562401883,417.6916082089709,420.00556771167345
2019-03-23,439.20692097352196,436.4966825158148,416.00118668485976,418.45213856642806
2019-03-24,437.88221798693394,434.78931660513774,414.31055120043067,416.89844068661995
2019-03-25,436.5576101960666,433.0822618875492,412.6202050220811,415.3449560087087
2019-03-26,435.23357085965773,431.3760206077857,410.9306502638039,413.792165189386
2019-03-27,433.9105719117715,429.67109409970533,409.2423880968686,412.2405477737649
2019-03-28,432.58908405213896,427.9679830081983,407.5559189593909,410.6905823591066
2019-03-29,431.26957685061643,426.26718750931354,405.8717427860042,409.1427467545826
2019-03-30,429.9525188419104,424.5692075304588,404.19035920885057,407.59751814702196
2019-03-31,428.63837762287477,422.8745429678324,402.5122677801679,406.05537326338356
2019-04-01,427.32761994138787,421.18369390192873,400.8379681644216,404.5167885179953
2019-04-02,426.02071178791317,419.49716080722726,399.1679603600205,402.982240175265
2019-04-03,424.7181184747413,417.81544475381554,397.50274488860646,401.4522044787894
2019-04-04,423.420304711951,416.139047602625,395.842822979616,399.92715780779
2019-04-05,422.127734676244,414.4684722006657,394.1886967603567,398.4075767944909
2019-04-06,420.84087206873346,412.80422255934775,392.5408694363332,396.89393845280614
2019-04-07,419.5602247736419,411.1468040158529,390.89984544137354,395.38672028270366
2019-04-08,418.2861664690608,409.49672340947814,389.2661305966577,393.8864003751215
2019-04-09,417.0192042953564,407.8544892183613,387.6402322623477,392.3934575003198
2019-04-10,415.75980044592984,406.22061169391105,386.0226594500232,390.908371179288
2019-04-11,414.50841677456003,404.59560298971996,384.41392295363227,389.4316217442798
2019-04-12,413.2655147880766,402.9799772684069,382.81453542901835,387.9636903875609
2019-04-13,412.03155561739334,401.37425078438713,381.22501151301884,386.50505918599754
2019-04-14,410.80699997958294,399.7789419728326,379.6458678589479,385.0562111107188
2019-04-15,409.59230811912846,398.19457149843345,378.07762320376725,383.6176300265969
2019-04-16,408.3879397388546,396.6216622984872,376.52079840455986,382.1898006508283
2019-04-17,407.19435390799856,395.0607396076397,374.9759164393426,380.7732085149533
2019-04-18,406.01200895470316,393.51233095362176,373.4435024280004,379.3683398899248
2019-04-19,404.84136234452205,391.9769661459104,371.92408357225895,377.9756816774341
2019-04-20,403.6828705335651,390.4551772337925,370.41818914131284,376.5957213019977
2019-04-21,402.53698881039026,388.9474984426855,368.92635038676707,375.2289465405554
2019-04-22,401.4041711119332,387.4544660913435,367.4491004514644,373.87584534161874
2019-04-23,400.2848698277452,385.976618489641,365.9869742677161,372.5369056023998
2019-04-24,399.1795355779296,384.5144957967185,364.54050839886537,371.21261489977746
2019-04-25,398.0886169779729,383.06863987368575,363.1102408981538,369.90346017915493
2019-04-26,397.0125603805633,381.63959409963167,361.69671110600916,368.60992738209063
2019-04-27,395.95180959431684,380.2279031610037,360.30045944568354,367.33250100521474
2019-04-28,394.9068055924712,378.83411282268736,358.92202717587634,366.07166357488677
2019-04-29,393.8779861984056,377.45876965704036,357.56195612347983,364.8278950079574
2019-04-30,392.8657857388391,376.1024207647804,356.220788394191,363.6016718325198
2019-05-01,391.87063470471645,374.7656134521402,354.8990660461972,362.3934661885421
2019-05-02,390.892959367157,373.448894878227,353.597330736364,361.2037445589647
2019-05-03,389.9331813918699,372.1528116870615,352.31612334309517,360.0329660383431
2019-05-04,388.9917174244365,370.87790959587255,351.0559835550622,358.8815799303802
2019-05-05,388.06897866660216,369.62473296006635,349.81744942895057,357.7500221866224
2019-05-06,387.1653704309786,368.39382429737555,348.6010569225514,356.63870977330686
2019-05-07,386.28129167557597,367.1857238001206,347.4073393920907,355.54803104236674
2019-05-08,385.4171345296196,366.0009687948751,346.23682706300946,354.47832724223457
2019-05-09,384.57328380205774,364.8400931853745,345.09004646185883,353.42985086900273
2019-05-10,383.7501164695915,363.7036268540192,343.9675198399209,352.4026422468633
2019-05-11,382.9480011562225,362.5920950437928,342.8697645295174,351.39581251704277
2019-05-12,382.1672976014792,361.50601769313545,341.7972923102427,350.38019738114144
2019-05-13,381.4083561104143,360.44590875052734,340.750608714539,349.4201402677226
2019-05-14,380.6715169973552,359.41227545742623,339.73021231640377,348.4240637914437
2019-05-15,379.9571100228957,358.4056175995291,338.7365939956314,347.5216476827983
2019-05-16,379.2654538117761,357.4264267221774,337.770236166061,346.62818532542695
2019-05-17,378.59685527640124,356.4751853344285,336.8316119837842,345.7781774718513
2019-05-18,377.9516090285947,355.55236606228243,335.9211845198156,344.9360691051309
2019-05-19,377.3299967868292,354.6584308037946,335.0394059193433,344.13959158121526
2019-05-20,376.7322867817384,353.79382982964796,334.1867165316104,343.36942009852817
2019-05-21,376.15873316570645,352.9590008886427,333.3635440297074,342.6259012687026
2019-05-22,375.60957541800286,352.1543682772029,332.5703024926278,341.9091323805909
2019-05-23,375.0850377579132,351.38034189185424,331.8073914849584,341.2189821327391
2019-05-24,374.5853285602165,350.6373162781164,331.07519513226185,340.55500289933235
2019-05-25,374.11063978166396,349.9256696532657,330.3740811653504,339.91121931164247
2019-05-26,373.6611463955362,349.2457629230593,329.7043999622127,339.17333022334793
2019-05-27,373.2370058406877,348.59793870875626,329.066483606326,338.6043943661495
2019-05-28,372.8383574854813,347.982520349243,328.46064491566284,338.0641071797712
2019-05-29,372.4653221090658,347.39981091968264,327.8871765060117,337.54817009013374
2019-05-30,372.1180014026338,346.8500922591993,327.34634982745894,337.0673028448739
2019-05-31,371.79647749491164,346.33362400445856,326.8384142512931,336.61582916144386
2019-06-01,371.50081250838707,345.85064263584945,326.3635961467502,336.19257891201875
2019-06-02,371.2310481304923,345.4013605604048,325.9220980001656,335.79964073533387
2019-06-03,370.9872052363581,344.98596520696304,325.5140975402734,335.4347068541483
2019-06-04,370.76928352877326,344.6046181622211,325.13974692397585,335.0926976507244
2019-06-05,370.5772612232719,344.25745434305924,324.79917193069844,334.53143099483026
2019-06-06,370.4110947755358,343.94458120895035,324.492471229468,334.2732768202531
2019-06-07,370.2707186437621,343.6660780298162,324.2197156728553,334.04604411765683
2019-06-08,370.1560451056034,343.42199520623996,323.98094765143014,333.84974012492717
2019-06-09,370.06696411404204,343.2123536519355,323.7761805153065,333.68425972923364
2019-06-10,370.0033432089128,343.03714423397525,323.60539806263296,333.54035411302857
2019-06-11,369.96502748167086,342.89632729980156,323.468554074458,333.4374307650465
2019-06-12,369.9518395854885,342.7898322643569,323.36557195218,333.3653961244406
2019-06-13,369.96357981123845,342.7175572930866,323.29634442235266,333.3241561897509
2019-06-14,370.0000262159535,342.6793690549246,323.2607333184489,333.3135886172345
2019-06-15,370.06093481253305,342.6751025782232,323.2585694653395,333.3335420921214
2019-06-16,370.14603981497675,342.70456118961187,323.2896526389489,333.3838358538824
2019-06-17,370.255053943319,342.7675165620033,323.3537516198509,333.4642596226631
2019-06-18,370.38766879557664,342.86370883585977,323.4506043562071,333.5745743057182
2019-06-19,370.5435552751729,342.9928468696488,323.57991820523677,333.71451423300306
2019-06-20,370.72236407782987,343.154608571775,323.74137028365885,333.8837908180255
2019-06-21,370.9237262395767,343.34864134416586,323.93460791755814,334.0820915167297
2019-06-22,371.14725374402417,343.57456261330077,324.15924916753914,334.3090591147908
2019-06-23,371.39254018680447,343.8319604852737,324.41488349947144,334.56426715090595
2019-06-24,371.65916149011116,344.12039447814914,324.7010724880261,334.84723615137744
2019-06-25,371.9466766806404,344.4393963582969,325.0173506732553,335.15746158808116
2019-06-26,372.2546287078422,344.78847108020534,325.3632264519568,335.4944207946909
2019-06-27,372.582545318152,345.16709779857,325.73818311314506,335.8575709425121
2019-06-28,372.9299399691386,345.5747309845834,326.14167990925887,336.2463476402552
2019-06-29,373.29631279026836,346.010801610599,326.57315321964467,336.6601651902594
2019-06-30,373.6811515778999,346.47471841497025,327.0320178127173,337.09841783958154
2019-07-01,374.0839328306717,346.96586924393404,327.51766812846336,337.56048148030334
